tab,type,Name,content
Intro,intro,Intro,"<h2>The Big Picture of 2k1 in Silico</h2>
<p>an app by <a href = ""https://garyking.org"">Gary King</a> and <a href = ""https://zagrebmukerjee.com"">Zagreb Mukerjee</a>
<p>Much of empirical social science is based on statistical inference: the art of using what we can observe to learn about what we can't. 
This app will guide you through the intuition of inference without being distracted by having to learn a programming language.
The fundamental concepts of inference will help you understand the methods currently in use, as well as all the new methods that will be discovered over the 
course of your scientific career.</p>

<p>These fundamental concepts fall into three categories:</p>
<ul style = ""padding-left:25px;"">
<li><b>Data Generation Processes</b>, and how to represent them using the language of <b>Probability</b>;</li>
<li><b>Likelihood</b>, a framework for making inferences, and describing how certain we are about them;</li>
<li>and <b>Simulation</b>, a technique to extend specific inference results to broader implications about the world</li>
</ul>

<p>The app parallels core content of <a href=""https://projects.iq.harvard.edu/gov2001/"">Gov 2001</a>, Harvard's introductory quantitative methods class for political scientists.
If you want to go deeper into any of the concepts presented here, the app offers links to Gov 2001 lecture videos, slides, or other materials.
For example, <a href=""https://youtu.be/qs2uCuDL2OQ?t=2416"">this lecture video</a> presents the big picture of inference in greater detail.
</p>"
DGP,intro,DGPs and Probability,"On this tab, you can use the <b>Probability Model</b> to set up a <b>Data Generating Process</b>, change its parameters, and see how it reacts. Using this tab will help you develop an intuition for probability, parameters, and distributions."
MLE,intro,Inference and Likelihood,"<a href=""https://www.youtube.com/watch?v=P79af1fkUsk"">this video</a> give an overview of the problem of inference."
Sim,intro,Simulation, <b>Simulation</b> is a tool for using inferences to gain broader and more useful knowledge.
DGP,intro,DGP Choice,"Choose a family of <b>Data Generating Processes</b>. Each family consists of many members who share a probability model, but have different parameters"
DGP,intro,Probability Model,"<p>This is the Probability Model of this family of DGPs, describing how parameters become data. It consists of:</p><ul><li>A <b>Probability Density Function</b>, which turns parameters and covariates into outcomes</li><li>A <b>systematic component</b> describing how parameters are set</li><li>A crucial <b>independence assumption</b> which lets us randomly generate outcomes one at a time</li></ul>"
DGP,intro,Observation Choice,Decide how much data you want to generate.
DGP,intro,Covariates,"<p>The outcome variable of this DGP - Y - depends on its <b>covariates</b>. These are random variables that, with the parameters, combine into Y as described by the Probability Model. In this case, we\'ve generated the covariates randomly beforehand, according to various DGPs. You can go <a href=""https://projects.iq.harvard.edu/2k1-in-silico/x-values"">here</a> to see the covariate choices. </p><p>Use the buttons to add or remove covariates.</p>"
DGP,intro,Parameters,"These sliders let you choose parameters. Depending on the DGP, these will directly control the shape of the distribution that you see in the <i>Analytical Plot</i>, or combine with the parameters first (as described in the Probability Model)."
DGP,intro,Analytical Plot,"<p>Here, you can see a graphical representation of the DGP you have set up, based on your choices of parameters and covariates. </p><p>This is a <b>density</b> or <b>mass</b> plot. It comes from the Probability Model - it isn\'t randomly generated! But if you randomly generated more and more data, the histogram of that data would look more and more like this. </p>"
DGP,intro,Ordinal Plot,The relative probability of each of the values as the chosen covariate changes.
DGP,intro,Parameter Histogram,"This plot describes the intermediate parameter, which is generated based on your parameters combined with the covariate."
